work_type,resource_type,title,creator_name_type_1,creator_family_name_1,creator_given_name_1,creator_organisation_name_1,creator_isni_1,creator_orcid_1,creator_staffmember_1,creator_researchassociate_1,creator_name_type_2,creator_family_name_2,creator_given_name_2,creator_organisation_name_2,creator_isni_2,creator_orcid_2,creator_staffmember_2,creator_researchassociate_2,creator_name_type_3,creator_family_name_3,creator_given_name_3,creator_organisation_name_3,creator_isni_3,creator_orcid_3,creator_staffmember_3,creator_researchassociate_3,contributor_name_type_1,contributor_type_1,contributor_family_name_1,contributor_given_name_1,contributor_organisation_name_1,contributor_isni_1,contributor_orcid_1,contributor_staffmember_1,contributor_researchassociate_1,contributor_name_type_2,contributor_type_2,contributor_family_name_2,contributor_given_name_2,contributor_organisation_name_2,contributor_isni_2,contributor_orcid_2,contributor_staffmember_2,contributor_researchassociate_2,contributor_name_type_3,contributor_type_3,contributor_family_name_3,contributor_given_name_3,contributor_organisation_name_3,contributor_isni_3,contributor_orcid_3,contributor_staffmember_3,contributor_researchassociate_3,abstract,date_published,material_media_1,duration,institution_1,organisational_unit_1,project_name,funder_1,funder_project_reference_1,event_title_1,event_location,event_date_1,series_name_1,book_title,editor_name_type_1,editor_family_name_1,editor_given_name_1,editor_organisation_name_1,editor_isni_1,editor_orcid_1,editor_staffmember_1,editor_researchassociate_1,editor_name_type_2,editor_family_name_2,editor_given_name_2,editor_organisation_name_2,editor_isni_2,editor_orcid_2,editor_staffmember_2,editor_researchassociate_2,journal_title,alternative_journal_title,volume_1,edition,version_1,issue,pagination,article_number_1,publisher_1,place_of_publication_1,isbn,issn,eissn,current_he_institution,date_accepted,date_submitted,official_url,related_url_1,related_url_2,related_exhibition_1,related_exhibition_date_1,related_exhibition_venue_1,language_1,license_1,rights_statement,rights_holder_1,doi,qualification_name,qualification_level,alternate_identifier_1,alternate_identifier_type_1,related_identifier_id_1,related_identifier_type_1,related_identifier_relationship_1,peer_reviewed,keyword_1,keyword_2,keyword_3,dewey_classification,library_of_congress_classification_1,library_of_congress_classification_2,additional_information,admin_set_name,admin_set
Book,Article default Journal article,Can I believe what I see? Data visualisation and trust in the humanities Imported by GJ 23/01/23,Personal,Boyd Davis,Stephen,,,0000-0002-5391-4557,,,Personal,Vane,Olivia,,,0000-0002-3777-4910,TRUE,,Personal,Kräutli,Florian,,,0000-0001-9039-0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Questions of trust are increasingly important in relation to data and its use. The authors focus on humanities data and its visualisation, through analysis of their own recent projects with museums, archives and libraries internationally. Their account connects the specifics of hands-on digital humanities work to larger epistemological questions. They discuss the sources of potential mistrust, and examine how different expectations and assumptions emerge depending on the use and user of the data; they offer a simple schema through which the implications may be traced. It is argued that vital issues of trust can be engaged with through design, which, rather than being conceived as a cosmetic finish, is seen as contributing insights and questions that affect the whole process. The article concludes with recommendations intended to be useful in both theory and practice.",12/10/2021,,,British Library,Digital Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,Interdisciplinary Science Reviews,,46,,,4,522-546,,Taylor and Francis,UK,,0308-0188,1743-2790,,12/09/2020,,https://doi.org/10.1080/03080188.2021.1872874,,,,,,English,https://creativecommons.org/licenses/by-nd/4.0/,http://rightsstatements.org/vocab/InC/1.0/,,10.1080/03080188.2021.1872874,,,,,,,,,scepticism,interrogability,digital humanities,,,,,,
Book,Book default Book,"The Visionary Art of William Blake: Christianity, Romanticism and the Pictorial Imagination Imported by GJ 23/01/23",Personal,"Billingsley
",Naomi,,,0000-0003-2219-1090,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"William Blake (1757-1827) is considered one of the most singular and brilliant talents that England has ever produced. Celebrated now for the originality of his thinking, painting and verse, he shocked contemporaries by rejecting all forms of organized worship even while adhering to the truth of the Bible. But how did he come to equate Christianity with art? How did he use images and paint to express those radical and prophetic ideas about religion which he came in time to believe? And why did he conceive of Christ himself as an artist: in fact, as the artist, par excellence? These are among the questions which Naomi Billingsley explores in her subtle and wide-ranging new study in art, religion and the history of ideas. Suggesting that Blake expresses through his representations of Jesus a truly distinctive theology of art, and offering detailed readings of Blake's paintings and biblical commentary, she argues that her subject thought of Christ as an artist-archetype. Blake's is thus a distinctively 'Romantic' vision of art in which both the artist and his saviour fundamentally change the way that the world is perceived.",2018,,,British Library,Research Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I.B. Tauris,"London, UK
",,,,,,,http://doi.org/10.5040/9781350989375,,,,,,English,,http://rightsstatements.org/vocab/InC/1.0/,,10.5040/9781350989375,,,,,,,,,,,,,,,"The attached file is the Author's Accepted Manuscript (AAM) of Chapter One of this book, in accordance with the publisher's self-archiving and open access policy.
",,
Report,Report default Research report,British Library Research Report 2019-20 Imported by GJ 23/01/23,Organisational,,,British Library,0000 0001 2308 1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It will come as no surprise that the impacts of a global pandemic on our research activities are a major theme of this, our fourth, annual Research Report. Regular readers will know that our reports reflect the breadth of research undertaken by our staff, students, fellows and collaborators during the previous academic year, in this case October 2019 to September 2020. This was a year of momentous change for many of us. The effects of national lockdowns, travel restrictions and the ability to access and research our physical collections, or collaborate safely in person, presented a great challenge. But it was also an opportunity to rethink how we do research effectively together when apart. And the range of successful projects, international collaborations and fellowships celebrated within these pages are testament to this.",2022,,,British Library,Research Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,British Library,"London, UK
",,,,,,,https://doi.org/10.23636/9m9n-6c47,,,,,,English,,http://rightsstatements.org/vocab/InC/1.0/,,10.23636/9m9n-6c47,,,,,,,,,,,,,,,,,
